id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,39,blue-collar,married,secondary,no,1756,yes,no,cellular,3,apr,939,1,-1,0,unknown,1
2,51,entrepreneur,married,primary,no,1443,no,no,cellular,18,feb,172,10,-1,0,unknown,1
3,36,management,single,tertiary,no,436,no,no,cellular,13,apr,567,1,595,2,failure,1
4,63,retired,married,secondary,no,474,no,no,cellular,25,jan,423,1,-1,0,unknown,1
5,31,management,single,tertiary,no,354,no,no,cellular,30,apr,502,1,9,2,success,1
6,29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,14,-1,0,unknown,1
7,37,services,married,secondary,no,52,yes,no,cellular,6,sep,908,1,185,9,success,1
8,32,technician,single,secondary,no,230,yes,no,cellular,18,may,442,1,266,8,failure,1
9,31,admin.,single,secondary,no,0,yes,no,cellular,7,may,895,2,295,2,failure,1
10,32,self-employed,single,tertiary,no,1815,no,no,telephone,10,aug,235,1,102,2,failure,1
11,35,self-employed,single,tertiary,no,353,no,no,cellular,12,aug,582,1,-1,0,unknown,1
12,34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,15,-1,0,unknown,1
13,34,admin.,single,tertiary,no,625,no,yes,unknown,31,aug,34,1,-1,0,unknown,1
14,31,management,divorced,tertiary,no,883,yes,no,cellular,5,mar,112,2,106,1,failure,1
15,38,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,2,-1,0,unknown,1
16,71,technician,married,tertiary,no,383,no,no,cellular,27,apr,388,3,-1,0,unknown,1
17,62,management,married,tertiary,no,557,no,no,cellular,14,aug,185,1,-1,0,unknown,1
18,66,retired,married,secondary,no,154,no,no,cellular,15,jul,268,5,181,2,failure,1
19,46,blue-collar,married,primary,no,369,yes,no,unknown,13,may,916,2,-1,0,unknown,1
20,29,admin.,single,tertiary,no,89,yes,no,cellular,22,jul,120,1,-1,0,unknown,0
21,28,self-employed,married,tertiary,no,112,yes,yes,cellular,5,may,145,1,-1,0,unknown,0
22,67,retired,married,primary,no,708,no,no,cellular,11,sep,96,2,-1,0,unknown,0
23,42,management,married,tertiary,no,4,yes,no,cellular,17,jul,795,1,-1,0,unknown,1
24,33,admin.,divorced,secondary,no,420,yes,no,telephone,6,feb,112,2,-1,0,unknown,0
25,39,services,single,secondary,no,158,yes,no,unknown,6,jun,354,2,-1,0,unknown,0
26,57,retired,divorced,tertiary,no,66,yes,no,cellular,11,may,798,2,-1,0,unknown,0
27,43,management,single,tertiary,no,0,no,no,cellular,11,aug,155,2,-1,0,unknown,0
28,46,services,divorced,unknown,no,973,no,no,cellular,2,feb,297,1,-1,0,unknown,0
29,31,blue-collar,married,primary,no,-81,yes,no,cellular,22,jul,261,1,-1,0,unknown,0
30,36,technician,single,secondary,no,524,yes,no,cellular,8,apr,95,1,-1,0,unknown,0
31,33,technician,single,secondary,no,0,yes,yes,cellular,9,feb,47,2,12,4,other,0
32,52,admin.,single,unknown,no,2227,no,no,cellular,24,feb,242,2,-1,0,unknown,1
33,30,self-employed,single,tertiary,no,800,no,no,unknown,6,may,95,2,-1,0,unknown,0
34,41,management,married,tertiary,no,-4,yes,no,cellular,8,may,72,1,368,1,failure,0
35,29,blue-collar,married,secondary,no,-493,yes,no,cellular,18,may,536,2,334,4,failure,1
36,56,management,married,tertiary,no,171,no,yes,telephone,17,jul,610,2,-1,0,unknown,0
37,48,management,married,secondary,no,2204,yes,no,cellular,12,may,45,1,-1,0,unknown,0
38,30,technician,single,secondary,no,601,no,no,cellular,27,feb,154,1,-1,0,unknown,0
39,60,housemaid,divorced,primary,no,1412,no,no,cellular,22,jul,127,4,-1,0,unknown,0
40,32,technician,married,secondary,no,1337,no,no,unknown,26,may,368,6,-1,0,unknown,0
41,31,management,single,secondary,yes,0,no,no,cellular,18,nov,129,2,-1,0,unknown,0
42,29,management,married,tertiary,no,54,no,no,cellular,28,jan,873,3,-1,0,unknown,0
43,33,technician,married,tertiary,no,1126,yes,no,unknown,6,sep,11,1,490,5,other,0
44,31,technician,single,secondary,no,691,yes,no,cellular,8,may,198,1,-1,0,unknown,0
45,39,technician,married,tertiary,no,794,no,no,telephone,2,feb,182,1,-1,0,unknown,0
46,23,blue-collar,single,secondary,no,-95,yes,no,unknown,14,may,167,3,-1,0,unknown,0
47,51,technician,divorced,secondary,no,107,no,no,unknown,19,jun,593,1,-1,0,unknown,0
48,39,housemaid,married,secondary,no,-146,yes,yes,cellular,20,aug,239,2,-1,0,unknown,0
49,40,management,married,tertiary,no,1041,yes,no,unknown,12,jun,73,1,-1,0,unknown,0
50,69,admin.,married,secondary,no,813,no,no,telephone,28,sep,237,2,-1,0,unknown,0
51,32,admin.,divorced,secondary,no,2017,no,yes,cellular,17,jul,686,1,-1,0,unknown,0
52,30,blue-collar,married,primary,no,236,yes,no,cellular,13,may,44,1,364,1,failure,0
53,56,unemployed,divorced,tertiary,no,0,yes,no,cellular,30,jul,1259,6,-1,0,unknown,0
54,32,management,single,tertiary,no,2343,no,no,cellular,18,jul,226,1,-1,0,unknown,0
55,49,services,married,primary,no,1830,yes,no,cellular,13,aug,261,1,179,1,success,1
56,45,management,divorced,tertiary,no,2813,yes,no,cellular,13,may,43,1,-1,0,unknown,0
57,45,entrepreneur,married,primary,no,58,yes,no,telephone,13,may,119,3,371,3,failure,0
58,55,technician,single,tertiary,no,-703,yes,no,cellular,8,may,123,3,-1,0,unknown,0
59,77,retired,married,primary,no,2590,no,no,telephone,15,feb,112,5,94,15,success,0
60,30,management,married,tertiary,no,0,no,no,cellular,21,aug,142,2,-1,0,unknown,0
61,56,technician,married,secondary,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,0
62,54,management,married,tertiary,no,500,yes,no,cellular,11,aug,56,4,-1,0,unknown,0
63,32,technician,single,secondary,no,5205,no,no,cellular,20,nov,352,1,-1,0,unknown,0
64,43,blue-collar,divorced,primary,no,49,yes,no,unknown,9,may,100,1,-1,0,unknown,0
65,48,unemployed,married,secondary,no,1811,yes,no,telephone,31,jul,135,3,-1,0,unknown,0
66,50,management,married,tertiary,no,89,no,no,unknown,20,jun,35,2,-1,0,unknown,0
67,50,admin.,single,secondary,no,642,no,no,cellular,18,nov,435,1,-1,0,unknown,0
68,35,blue-collar,married,unknown,no,-205,yes,no,unknown,23,may,147,14,-1,0,unknown,0
69,39,admin.,single,secondary,no,720,yes,no,telephone,18,nov,47,3,-1,0,unknown,0
70,36,services,single,secondary,no,755,no,no,unknown,18,jun,355,1,-1,0,unknown,0
71,30,technician,single,tertiary,yes,23,no,no,cellular,12,aug,72,4,-1,0,unknown,0
72,43,admin.,single,secondary,no,-495,yes,yes,unknown,23,may,131,1,-1,0,unknown,0
73,37,services,divorced,secondary,no,532,yes,no,unknown,11,jun,199,1,-1,0,unknown,0
74,53,services,divorced,primary,no,200,no,no,cellular,17,nov,182,3,-1,0,unknown,0
75,45,unknown,married,unknown,no,19706,yes,no,cellular,3,feb,419,3,-1,0,unknown,0
76,30,blue-collar,single,secondary,no,397,yes,no,unknown,28,may,536,7,-1,0,unknown,0
77,53,management,divorced,tertiary,no,-187,yes,no,cellular,31,jul,27,2,-1,0,unknown,0
78,45,entrepreneur,married,secondary,no,-479,yes,no,cellular,30,jul,167,2,-1,0,unknown,0
79,51,admin.,married,secondary,no,3025,no,no,cellular,7,may,476,1,352,1,other,1
80,35,blue-collar,single,primary,no,-269,yes,no,unknown,9,jun,96,10,-1,0,unknown,0
81,53,services,married,unknown,no,2009,no,no,cellular,16,jun,250,1,-1,0,unknown,0
82,33,blue-collar,married,secondary,no,-253,yes,no,cellular,12,may,89,3,-1,0,unknown,0
83,49,management,single,secondary,no,-18,yes,no,cellular,11,may,217,3,264,4,failure,0
84,36,admin.,single,secondary,no,0,no,no,cellular,4,feb,137,2,-1,0,unknown,0
85,41,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,0
86,36,admin.,single,unknown,no,-69,yes,no,unknown,27,may,90,2,-1,0,unknown,0
87,34,management,married,tertiary,no,1273,no,no,unknown,11,aug,93,2,-1,0,unknown,0
88,37,retired,married,secondary,no,-252,no,no,cellular,22,jul,438,3,-1,0,unknown,0
89,47,retired,divorced,secondary,no,0,no,no,unknown,19,jun,141,1,-1,0,unknown,0
90,54,self-employed,married,tertiary,no,0,yes,no,cellular,20,aug,83,5,-1,0,unknown,0
91,46,blue-collar,single,secondary,no,2401,yes,no,unknown,14,may,218,2,-1,0,unknown,0
92,36,management,married,tertiary,no,9324,yes,no,cellular,30,mar,138,8,-1,0,unknown,0
93,47,admin.,married,secondary,no,1383,yes,no,unknown,6,jun,460,8,-1,0,unknown,0
94,34,self-employed,single,tertiary,no,1798,yes,no,cellular,13,may,196,3,-1,0,unknown,0
95,38,management,married,tertiary,no,385,yes,no,telephone,28,oct,154,1,-1,0,unknown,1
96,35,entrepreneur,single,secondary,no,475,no,yes,cellular,21,jul,936,4,-1,0,unknown,0
97,38,blue-collar,divorced,secondary,no,593,yes,no,cellular,17,apr,182,2,-1,0,unknown,0
98,42,services,married,secondary,no,693,yes,no,unknown,13,may,187,2,-1,0,unknown,0
99,29,management,single,tertiary,no,2753,no,no,cellular,30,apr,645,1,-1,0,unknown,1
100,56,management,single,secondary,no,237,yes,no,telephone,9,jul,236,4,-1,0,unknown,0
101,46,technician,married,secondary,no,78,no,no,cellular,20,aug,172,2,-1,0,unknown,0
102,34,admin.,married,tertiary,no,0,yes,yes,cellular,3,aug,108,2,180,7,failure,0
103,56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,0
104,60,housemaid,divorced,secondary,no,387,yes,no,unknown,4,jun,235,1,-1,0,unknown,0
105,25,management,married,tertiary,no,127,yes,no,cellular,18,may,695,2,-1,0,unknown,0
106,29,management,single,tertiary,no,3041,yes,no,cellular,8,may,606,3,-1,0,unknown,1
107,37,admin.,single,tertiary,no,-898,yes,no,unknown,21,may,482,1,-1,0,unknown,0
108,33,technician,married,tertiary,no,599,yes,no,cellular,29,aug,461,2,-1,0,unknown,0
